FREQ,TEMP,DURATION,Lonely,Sample,ZFREQ,ZTEMP,ZDURATION,COMPOSITE
4,6,3,1.45,1,-.794662507710522,1.06837559185855,-.833098538776997,-.186461818209658
5,3,4,3.25,1,.361210230777501,-1.8504434164127,.123883914448873,-.455116423728775
5,5,4,2.8,1,.361210230777501,.0954359224347981,.123883914448873,.193510022553724
6,5,5,1.8,1,1.51708296926552,.0954359224347981,1.08086636767474,.897795086458355
4,5,3,3.6,1,-.794662507710522,.0954359224347981,-.833098538776997,-.510775041350907
5,5,4,1.95,1,.361210230777501,.0954359224347981,.123883914448873,.193510022553724
5,6,5,2.55,1,.361210230777501,1.06837559185855,1.08086636767474,.836817396770264
4,5,6,2.52631578947368,1,-.794662507710522,.0954359224347981,2.03784882090061,.446207411874963
3,6,4,1.65,1,-1.95053524619855,1.06837559185855,.123883914448873,-.252758579963709
3,6,4,2.55,1,-1.95053524619855,1.06837559185855,.123883914448873,-.252758579963709
5,5,3,1.95,1,.361210230777501,.0954359224347981,-.833098538776997,-.125484128521566
5,6,4,2.25,1,.361210230777501,1.06837559185855,.123883914448873,.517823245694974
5,5,4,2.05,1,.361210230777501,.0954359224347981,.123883914448873,.193510022553724
5,5,5,1.95,1,.361210230777501,.0954359224347981,1.08086636767474,.512504173629014
5,5,4,2.3,1,.361210230777501,.0954359224347981,.123883914448873,.193510022553724
4,6,5,2.6,1,-.794662507710522,1.06837559185855,1.08086636767474,.451526483940923
5,5,6,2.75,1,.361210230777501,.0954359224347981,2.03784882090061,.831498324704304
5,5,6,1.85,1,.361210230777501,.0954359224347981,2.03784882090061,.831498324704304
5,5,4,2.05,1,.361210230777501,.0954359224347981,.123883914448873,.193510022553724
5,5,5,1.5,1,.361210230777501,.0954359224347981,1.08086636767474,.512504173629014
5,4,4,1.6,1,.361210230777501,-.87750374698895,.123883914448873,-.130803200587525
5,5,3,1.4,1,.361210230777501,.0954359224347981,-.833098538776997,-.125484128521566
5,5,4,1.84210526315789,1,.361210230777501,.0954359224347981,.123883914448873,.193510022553724
5,4,4,1.2,1,.361210230777501,-.87750374698895,.123883914448873,-.130803200587525
5,5,4,2.2,1,.361210230777501,.0954359224347981,.123883914448873,.193510022553724
5,4,3,2.6,1,.361210230777501,-.87750374698895,-.833098538776997,-.449797351662815
3,6,5,2.65,1,-1.95053524619855,1.06837559185855,1.08086636767474,.0662355711115814
5,6,5,2.25,1,.361210230777501,1.06837559185855,1.08086636767474,.836817396770264
5,5,5,2.85,1,.361210230777501,.0954359224347981,1.08086636767474,.512504173629014
5,6,4,2.25,1,.361210230777501,1.06837559185855,.123883914448873,.517823245694974
4,5,4,2.55,1,-.794662507710522,.0954359224347981,.123883914448873,-.191780890275617
4,5,5,2.35,1,-.794662507710522,.0954359224347981,1.08086636767474,.127213260799673
5,5,3,1.7,1,.361210230777501,.0954359224347981,-.833098538776997,-.125484128521566
5,6,4,2.1,1,.361210230777501,1.06837559185855,.123883914448873,.517823245694974
6,4,4,1.35,1,1.51708296926552,-.87750374698895,.123883914448873,.254487712241816
2,4,4,1.15,1,-3.10640798468657,-.87750374698895,.123883914448873,-1.28667593907555
5,6,4,1.75,1,.361210230777501,1.06837559185855,.123883914448873,.517823245694974
5,5,4,1.8,1,.361210230777501,.0954359224347981,.123883914448873,.193510022553724
5,6,3,1.45,1,.361210230777501,1.06837559185855,-.833098538776997,.198829094619683
4,6,5,1.6,1,-.794662507710522,1.06837559185855,1.08086636767474,.451526483940923
6,4,3,1.55,1,1.51708296926552,-.87750374698895,-.833098538776997,-.0645064388334743
5,6,3,2.3,1,.361210230777501,1.06837559185855,-.833098538776997,.198829094619683
5,5,6,2.25,1,.361210230777501,.0954359224347981,2.03784882090061,.831498324704304
5,4,4,2.3,1,.361210230777501,-.87750374698895,.123883914448873,-.130803200587525
5,5,4,1.4,1,.361210230777501,.0954359224347981,.123883914448873,.193510022553724
6,7,4,1.7,1,1.51708296926552,2.04131526128229,.123883914448873,1.22742738166556
6,5,3,2.57894736842105,1,1.51708296926552,.0954359224347981,-.833098538776997,.259806784307775
4,5,4,2.75,1,-.794662507710522,.0954359224347981,.123883914448873,-.191780890275617
5,5,4,2.05,1,.361210230777501,.0954359224347981,.123883914448873,.193510022553724
5,5,4,2.25,1,.361210230777501,.0954359224347981,.123883914448873,.193510022553724
6,4,4,1.95,1,1.51708296926552,-.87750374698895,.123883914448873,.254487712241816
5,3,4,2.15,1,.361210230777501,-1.8504434164127,.123883914448873,-.455116423728775
5,4,4,2.1,1,.361210230777501,-.87750374698895,.123883914448873,-.130803200587525
5,4,4,1.45,1,.361210230777501,-.87750374698895,.123883914448873,-.130803200587525
6,5,4,1.15,1,1.51708296926552,.0954359224347981,.123883914448873,.578800935383065
5,5,3,1.3,1,.361210230777501,.0954359224347981,-.833098538776997,-.125484128521566
4,4,3,1.4,1,-.794662507710522,-.87750374698895,-.833098538776997,-.835088264492157
5,4,6,2.3,1,.361210230777501,-.87750374698895,2.03784882090061,.507185101563055
